meter_id_hash,service_point_id_hash,locality,zone,feeder_id_hash,dt_id_hash,consumer_category,premise_subtype,tariff_category,first30_kwh,prev30_kwh,last30_kwh,drop_first_to_last_pct,drop_prev_to_last_pct,missing_pct,outage_pct,after_hours_ratio,avg_power_factor,min_power_factor,plateau_max_run_intervals,monthly_baseline_units,sanctioned_load_kw,gruha_jyothi_eligible,solar_capacity_kw,ev_flag,occupancy_pattern,peer_group,peer_rank_first30,peer_rank_last30,peer_rank_drop_points
MTR_000001_HASH,SP_000001_HASH,KR Puram,East Circle,FDR_012_HASH,DT_0012_HASH,RESIDENTIAL,3BHK_FAMILY,LT2A_RESIDENTIAL,311.58902,0.0,0.0,100.0,0.0,0.0,0.0,2.290912,0.959839,0.874527,2,234.18,3.0,1,0.0,1,MIXED_USE,KR Puram|RESIDENTIAL|3BHK_FAMILY,57.14285714285714,14.285714285714285,42.857142857142854
MTR_000002_HASH,SP_000002_HASH,Hebbal,North Circle,FDR_008_HASH,DT_0023_HASH,RESIDENTIAL,2BHK_SMALL_FAMILY,LT2A_RESIDENTIAL,94.34509,0.0,0.0,100.0,0.0,0.069444,0.052083,0.364401,0.959896,0.892377,2,96.03,2.0,1,0.0,0,FAMILY,Hebbal|RESIDENTIAL|2BHK_SMALL_FAMILY,42.857142857142854,14.285714285714285,28.57142857142857
MTR_000003_HASH,SP_000003_HASH,Electronic City,South Circle,FDR_007_HASH,DT_0037_HASH,RESIDENTIAL,2BHK_SMALL_FAMILY,LT2A_RESIDENTIAL,232.43744,0.0,0.0,100.0,0.0,0.243056,0.069444,0.370731,0.960048,0.887995,1,238.54,5.0,0,0.0,0,FAMILY,Electronic City|RESIDENTIAL|2BHK_SMALL_FAMILY,100.0,21.428571428571427,78.57142857142857
MTR_000004_HASH,SP_000004_HASH,Domlur,East Circle,FDR_014_HASH,DT_0119_HASH,RESIDENTIAL,3BHK_FAMILY,LT2A_RESIDENTIAL,215.9007,194.13376,196.2048,9.122663,-1.066813,0.0,0.069444,0.400033,0.959862,0.892711,2,222.96,5.0,0,0.0,0,WORKING_COUPLE,Domlur|RESIDENTIAL|3BHK_FAMILY,25.0,25.0,0.0
MTR_000005_HASH,SP_000005_HASH,Indiranagar,East Circle,FDR_013_HASH,DT_0073_HASH,RESIDENTIAL,2BHK_SMALL_FAMILY,LT2A_RESIDENTIAL,134.05594,0.0,0.0,100.0,0.0,0.0,0.0,0.367308,0.959856,0.896363,2,137.3,3.0,1,0.0,0,SENIOR_CITIZEN,Indiranagar|RESIDENTIAL|2BHK_SMALL_FAMILY,100.0,16.666666666666664,83.33333333333334
MTR_000006_HASH,SP_000006_HASH,Banashankari,South Circle,FDR_010_HASH,DT_0070_HASH,COMMERCIAL,SMALL_OFFICE,LT3_COMMERCIAL,257.63159,0.0,0.0,100.0,0.0,0.0,0.0,0.122424,0.909902,0.842017,2,274.21,3.0,0,0.0,0,FAMILY,Banashankari|COMMERCIAL|SMALL_OFFICE,50.0,50.0,0.0
MTR_000007_HASH,SP_000007_HASH,KR Puram,East Circle,FDR_012_HASH,DT_0042_HASH,RESIDENTIAL,1BHK_SINGLE_OR_COUPLE,LT2A_RESIDENTIAL,14.78113,0.0,0.0,100.0,0.0,0.0,0.0,0.466735,0.959691,0.8898,3,33.17,2.0,0,0.0,0,FAMILY,KR Puram|RESIDENTIAL|1BHK_SINGLE_OR_COUPLE,16.666666666666664,16.666666666666664,0.0
MTR_000008_HASH,SP_000008_HASH,Yelahanka,North Circle,FDR_009_HASH,DT_0069_HASH,SMALL_INDUSTRY,WELDING_WORKSHOP,LT5_SMALL_INDUSTRY,1657.47607,0.0,0.0,100.0,0.0,0.0,0.0,0.151501,0.860215,0.792719,2,1668.94,30.0,0,0.0,0,FAMILY,Yelahanka|SMALL_INDUSTRY|WELDING_WORKSHOP,66.66666666666666,33.33333333333333,33.33333333333333
MTR_000009_HASH,SP_000009_HASH,Electronic City,South Circle,FDR_007_HASH,DT_0067_HASH,COMMERCIAL,CLINIC,LT3_COMMERCIAL,234.28711,167.49754,110.9808,52.63043,33.741836,0.0,0.0,0.216142,0.910099,0.84165,2,231.21,5.0,0,0.0,0,FAMILY,Electronic City|COMMERCIAL|CLINIC,100.0,100.0,0.0
MTR_000010_HASH,SP_000010_HASH,KR Puram,East Circle,FDR_012_HASH,DT_0027_HASH,APARTMENT_COMMON_AREA,APARTMENT_COMMON_PUMP_LIFT,APARTMENT_COMMON,2166.24536,0.0,0.0,100.0,0.0,0.0,0.0,0.462343,0.910042,0.841963,1,2163.16,25.0,0,0.0,0,MIXED_USE,KR Puram|APARTMENT_COMMON_AREA|APARTMENT_COMMON_PUMP_LIFT,100.0,50.0,50.0
