meter_id_hash,service_point_id_hash,locality,zone,feeder_id_hash,dt_id_hash,consumer_category,premise_subtype,latitude_grid,longitude_grid,sig_comm_failure,sig_reading_plateau,sig_peer_drift,sig_sudden_drop,sig_billing_cycle_drop,sig_after_hours_commercial,sig_pf_register,sig_tamper_event,sig_genuine_low_usage_context,sig_solar_export_normal,sig_ev_consistent_night_pattern,isolation_forest_score,cluster_watchlist_boost,independent_signal_count,suppressor_count,risk_score,risk_tier,priority,recommended_team,recommended_action,alert_fingerprint,one_line_reason,confidence_pct,estimated_revenue_impact_inr,is_active_meter
MTR_000001_HASH,SP_000001_HASH,KR Puram,East Circle,FDR_012_HASH,DT_0012_HASH,RESIDENTIAL,3BHK_FAMILY,13.0089,77.7026,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,INACTIVE_SUPPRESSED,,,,,,,0.0,0
MTR_000002_HASH,SP_000002_HASH,Hebbal,North Circle,FDR_008_HASH,DT_0023_HASH,RESIDENTIAL,2BHK_SMALL_FAMILY,13.0277,77.5871,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,INACTIVE_SUPPRESSED,,,,,,,0.0,0
MTR_000003_HASH,SP_000003_HASH,Electronic City,South Circle,FDR_007_HASH,DT_0037_HASH,RESIDENTIAL,2BHK_SMALL_FAMILY,12.8466,77.6849,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,INACTIVE_SUPPRESSED,,,,,,,0.0,0
MTR_000004_HASH,SP_000004_HASH,Domlur,East Circle,FDR_014_HASH,DT_0119_HASH,RESIDENTIAL,3BHK_FAMILY,12.9658,77.648,0,0,0,0,0,0,0,0,0,0,0,10.404165792849728,0,0,0,3.121249737854918,NO_ALERT,,,,,,,0.0,1
MTR_000005_HASH,SP_000005_HASH,Indiranagar,East Circle,FDR_013_HASH,DT_0073_HASH,RESIDENTIAL,2BHK_SMALL_FAMILY,12.968,77.6416,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,INACTIVE_SUPPRESSED,,,,,,,0.0,0
MTR_000006_HASH,SP_000006_HASH,Banashankari,South Circle,FDR_010_HASH,DT_0070_HASH,COMMERCIAL,SMALL_OFFICE,12.9295,77.5631,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,INACTIVE_SUPPRESSED,,,,,,,0.0,0
MTR_000007_HASH,SP_000007_HASH,KR Puram,East Circle,FDR_012_HASH,DT_0042_HASH,RESIDENTIAL,1BHK_SINGLE_OR_COUPLE,13.0035,77.6668,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,INACTIVE_SUPPRESSED,,,,,,,0.0,0
MTR_000008_HASH,SP_000008_HASH,Yelahanka,North Circle,FDR_009_HASH,DT_0069_HASH,SMALL_INDUSTRY,WELDING_WORKSHOP,13.098,77.5922,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,INACTIVE_SUPPRESSED,,,,,,,0.0,0
MTR_000009_HASH,SP_000009_HASH,Electronic City,South Circle,FDR_007_HASH,DT_0067_HASH,COMMERCIAL,CLINIC,12.8372,77.6814,0,0,0,0,1,0,1,0,0,0,0,60.83033620184568,0,2,0,44.2491008605537,MULTI_SIGNAL_CONFIRMED,P1,Vigilance,Schedule vigilance inspection within 7 days,Billing Cycle Drop + Low Power Factor,"CLINIC Electronic City COMMERCIAL meter, dropped 53% consumption, 17-pt peer rank drop",48.2,986.48,1
MTR_000010_HASH,SP_000010_HASH,KR Puram,East Circle,FDR_012_HASH,DT_0027_HASH,APARTMENT_COMMON_AREA,APARTMENT_COMMON_PUMP_LIFT,13.0156,77.6871,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,INACTIVE_SUPPRESSED,,,,,,,0.0,0
